Author,Handle,Comment Text,Date,Likes,Retweets,Replies
Jaana Dogan ヤナ ドガン,@rakyll,"It's not perfect and I'm iterating on it but this is where we are right now. If you are skeptical of coding agents, try it on a domain you are already an expert of. Build something complex from scratch where you can be the judge of the artifacts.",Jan 3,5042,231,80
Marco Dewey,@marco_dewey,when will gemini get to this point,Jan 3,262,2,2
Jaana Dogan ヤナ ドガン,@rakyll,We are working hard right now. The models and the harness.,Jan 3,1400,17,27
justin,@foooorsyth,How detailed was the prompt? Closer to brief ad-hoc description or full-blown PRD?,Jan 3,83,3,2
Jaana Dogan ヤナ ドガン,@rakyll,It wasn't a very detailed prompt and it contained no real details given I cannot share anything propriety. I was building a toy version on top of some of the existing ideas to evaluate Claude Code. It was a three paragraph description.,Jan 3,626,21,17
pleb,@LifeAberration,"Thank you for sharing that Jaana. I'm curious what made you finally try comparing your work with the work of a coding system now, and what were your expectations before?",Jan 3,61,0,1
Jaana Dogan ヤナ ドガン,@rakyll,I had time to play on toy projects for the first time over the holidays.,Jan 3,196,6,10
Aryan,@AryanTyagi100,Thats crazy! Do you think Google gemini will beat Claude Opus soon,Jan 3,41,0,2
Jaana Dogan ヤナ ドガン,@rakyll,Beating is the goal. Anthropic has done a great job building their harness. It's great to see this kind of progress even it's coming from a competitor.,Jan 3,633,22,11
Thomas Power,@thomaspower,"This is the quiet shockwave moment. It's not that Claude coded faster. It's that a clear problem description now compresses a year of committee debate, alignment friction, and orchestration overhead into an hour. The bottleneck has shifted: from implementation to articulation",Jan 3,115,16,5
Michael Kove,@michael_kove,"This is both, proudest and worrying moment for Anthropic..",Jan 3,359,24,6
Adam MacBeth,@adamac,Why isn't it funny?,Jan 3,1,0,5
11eleven,@sticktoitivity,"There's absolutely no way Claude Code or any other model could come up with my custom orchestration workflows because the hard part is not technical, it's meta-logic which is the foundation of knowledge itself acc. K. Popper and R. Feynman's build to understand philosophies.",Jan 3,25,1,4
Dhruv,@dhruv2038,Isn't this already opensourced by Uber?,Jan 3,32,2,2
geoff,@GeoffreyHuntley,welcome to ralph land - ghuntley.com/ralph now put an entire system into a loop,Jan 3,27,1,3
Kirk Marple,@KirkMarple,"Was it that Claude could ignore the team dynamics and make decisions, which were holding it back last year? Or more, the learnings of the last year made it easier to create a new, clean version from scratch?",Jan 3,531,25,2
