id,review,rating
1,"Oh fantastic, another update that breaks the login button. Just what I needed on a Monday.",1
2,"Best purchase I've made all year. Shipping was fast and the product exceeded my expectations!",5
3,"It works as described. Nothing special, nothing terrible.",3
4,"The customer service rep was incredibly helpful and resolved my issue in under 5 minutes.",5
5,"Total waste of money. Broke after 2 days. Want my money back.",1
6,"Decent product for the price. Some minor issues but overall acceptable.",3
7,"Absolutely love it! Already ordered a second one for my office.",5
8,"Slow shipping, but the product itself is fine.",3
9,"Completely different from the description. Very disappointed.",1
10,"Great value for money. Would recommend to friends.",4
